FechaMensual,CodigoEstacion,Valor,value_mei_v2,type_ENSO,region,CantidadEventos_x,Año,Mes,CantidadEventos_y
2006-01-01,52065020,712.0,-0.68,niña,pacifico,0,2006,1,0
2006-02-01,52065020,439.0,-0.5,neutro,pacifico,0,2006,2,0
2006-03-01,52065020,669.6,-0.62,niña,pacifico,0,2006,3,0
2006-04-01,52065020,745.3,-0.84,niña,pacifico,0,2006,4,0
2006-05-01,52065020,504.9,-0.43,neutro,pacifico,0,2006,5,0
2006-11-01,52065020,799.3,0.9,niño,pacifico,0,2006,11,0
2006-12-01,52065020,592.3,0.59,niño,pacifico,0,2006,12,0
2007-01-01,52065020,561.5,0.62,niño,pacifico,0,2007,1,0
2007-02-01,52065020,172.3,0.39,neutro,pacifico,0,2007,2,0
2007-03-01,52065020,983.5,-0.22,neutro,pacifico,0,2007,3,0
2007-04-01,52065020,877.1,-0.36,neutro,pacifico,0,2007,4,0
2007-05-01,52065020,1094.4,-0.44,neutro,pacifico,0,2007,5,0
2007-06-01,52065020,725.0,-0.86,niña,pacifico,0,2007,6,0
2007-07-01,52065020,610.2,-0.77,niña,pacifico,0,2007,7,0
2007-08-01,52065020,580.3,-0.94,niña,pacifico,0,2007,8,0
2007-09-01,52065020,245.4,-1.1,niña,pacifico,0,2007,9,0
2007-10-01,52065020,388.0,-1.14,niña,pacifico,1,2007,10,1
2007-11-01,52065020,377.6,-1.12,niña,pacifico,0,2007,11,0
2007-12-01,52065020,365.6,-1.21,niña,pacifico,0,2007,12,0
2008-01-01,52065020,803.6,-1.08,niña,pacifico,0,2008,1,0
2008-02-01,52065020,569.3,-1.27,niña,pacifico,0,2008,2,0
2008-03-01,52065020,431.0,-1.53,niña,pacifico,0,2008,3,0
2008-04-01,52065020,1080.9,-1.13,niña,pacifico,0,2008,4,0
2008-05-01,52065020,888.6,-0.98,niña,pacifico,0,2008,5,0
2008-06-01,52065020,1070.9,-0.86,niña,pacifico,0,2008,6,0
2008-07-01,52065020,824.5,-0.87,niña,pacifico,0,2008,7,0
2008-08-01,52065020,941.1,-1.08,niña,pacifico,0,2008,8,0
2008-09-01,52065020,477.3,-1.07,niña,pacifico,0,2008,9,0
2008-10-01,52065020,507.1,-1.12,niña,pacifico,0,2008,10,0
2008-11-01,52065020,217.6,-1.04,niña,pacifico,0,2008,11,0
2008-12-01,52065020,232.3,-1.05,niña,pacifico,0,2008,12,0
2009-01-01,52065020,727.4,-1.0,niña,pacifico,0,2009,1,0
2009-02-01,52065020,362.3,-0.84,niña,pacifico,0,2009,2,0
2009-03-01,52065020,663.1,-0.93,niña,pacifico,0,2009,3,0
2009-04-01,52065020,374.2,-0.81,niña,pacifico,0,2009,4,0
2009-05-01,52065020,508.3,-0.72,niña,pacifico,0,2009,5,0
2009-06-01,52065020,302.8,-0.06,neutro,pacifico,0,2009,6,0
2009-07-01,52065020,387.9,0.49,neutro,pacifico,0,2009,7,0
2009-08-01,52065020,893.0,0.52,niño,pacifico,0,2009,8,0
2009-09-01,52065020,144.9,0.39,neutro,pacifico,0,2009,9,0
2009-10-01,52065020,237.4,0.56,niño,pacifico,0,2009,10,0
2009-11-01,52065020,125.3,1.05,niño,pacifico,0,2009,11,0
2009-12-01,52065020,719.7,0.96,niño,pacifico,0,2009,12,0
2010-01-01,52065020,560.9,0.94,niño,pacifico,0,2010,1,0
2010-02-01,52065020,607.8,1.28,niño,pacifico,0,2010,2,0
2010-03-01,52065020,760.5,1.31,niño,pacifico,0,2010,3,0
2010-04-01,52065020,1038.1,0.49,neutro,pacifico,0,2010,4,0
2010-05-01,52065020,575.5,-0.17,neutro,pacifico,0,2010,5,0
2010-06-01,52065020,740.7,-1.33,niña,pacifico,0,2010,6,0
2010-07-01,52065020,606.6,-2.43,niña,pacifico,0,2010,7,0
2010-08-01,52065020,426.9,-2.4,niña,pacifico,0,2010,8,0
2010-09-01,52065020,616.2,-2.28,niña,pacifico,0,2010,9,0
2010-10-01,52065020,248.1,-2.18,niña,pacifico,0,2010,10,0
2010-11-01,52065020,582.9,-2.03,niña,pacifico,0,2010,11,0
2010-12-01,52065020,908.6,-1.91,niña,pacifico,0,2010,12,0
2011-01-01,52065020,786.2,-1.83,niña,pacifico,0,2011,1,0
2011-02-01,52065020,350.9,-1.63,niña,pacifico,0,2011,2,0
2011-03-01,52065020,428.2,-1.79,niña,pacifico,0,2011,3,0
2011-04-01,52065020,641.1,-1.73,niña,pacifico,0,2011,4,0
2011-05-01,52065020,382.9,-1.29,niña,pacifico,0,2011,5,0
2011-06-01,52065020,568.9,-1.08,niña,pacifico,0,2011,6,0
2011-07-01,52065020,726.8,-0.86,niña,pacifico,0,2011,7,0
2011-08-01,52065020,408.5,-0.88,niña,pacifico,0,2011,8,0
2011-09-01,52065020,447.6,-1.16,niña,pacifico,0,2011,9,0
2011-10-01,52065020,604.2,-1.37,niña,pacifico,0,2011,10,0
2011-11-01,52065020,87.1,-1.21,niña,pacifico,0,2011,11,0
2011-12-01,52065020,277.9,-1.24,niña,pacifico,0,2011,12,0
2012-01-01,52065020,919.6,-1.08,niña,pacifico,0,2012,1,0
2012-02-01,52065020,519.9,-0.67,niña,pacifico,0,2012,2,0
2012-03-01,52065020,668.8,-0.59,niña,pacifico,0,2012,3,0
2012-04-01,52065020,753.2,-0.43,neutro,pacifico,0,2012,4,0
2012-05-01,52065020,1029.8,-0.36,neutro,pacifico,0,2012,5,0
2012-06-01,52065020,462.6,-0.28,neutro,pacifico,0,2012,6,0
2012-07-01,52065020,313.8,0.3,neutro,pacifico,0,2012,7,0
2012-08-01,52065020,109.8,-0.06,neutro,pacifico,0,2012,8,0
2012-09-01,52065020,281.7,-0.32,neutro,pacifico,0,2012,9,0
2013-06-01,52065020,359.8,-1.18,niña,pacifico,0,2013,6,0
2013-07-01,52065020,381.8,-0.85,niña,pacifico,0,2013,7,0
2013-08-01,52065020,277.5,-0.5,neutro,pacifico,0,2013,8,0
2013-09-01,52065020,313.5,-0.38,neutro,pacifico,0,2013,9,0
2013-10-01,52065020,482.4,-0.16,neutro,pacifico,0,2013,10,0
2013-11-01,52065020,149.8,-0.17,neutro,pacifico,0,2013,11,0
2013-12-01,52065020,296.6,-0.35,neutro,pacifico,0,2013,12,0
2014-01-01,52065020,826.6,-0.51,niña,pacifico,0,2014,1,0
2014-03-01,52065020,850.6,-0.07,neutro,pacifico,0,2014,3,0
2014-04-01,52065020,653.5,-0.16,neutro,pacifico,0,2014,4,0
2014-05-01,52065020,1042.1,-0.18,neutro,pacifico,0,2014,5,0
2014-06-01,52065020,696.1,-0.01,neutro,pacifico,0,2014,6,0
2014-07-01,52065020,286.1,0.31,neutro,pacifico,0,2014,7,0
2014-08-01,52065020,634.8,0.15,neutro,pacifico,1,2014,8,1
2014-09-01,52065020,420.3,-0.15,neutro,pacifico,0,2014,9,0
2014-10-01,52065020,973.9,0.06,neutro,pacifico,0,2014,10,0
2014-11-01,52065020,338.6,0.34,neutro,pacifico,0,2014,11,0
2014-12-01,52065020,542.5,0.34,neutro,pacifico,0,2014,12,0
2015-01-01,52065020,547.8,0.23,neutro,pacifico,0,2015,1,0
2015-02-01,52065020,625.3,0.05,neutro,pacifico,0,2015,2,0
2015-03-01,52065020,407.1,0.13,neutro,pacifico,0,2015,3,0
2015-04-01,52065020,849.4,0.35,neutro,pacifico,0,2015,4,0
2015-05-01,52065020,918.8,0.96,niño,pacifico,0,2015,5,0
2015-06-01,52065020,175.1,1.85,niño,pacifico,0,2015,6,0
2015-07-01,52065020,569.0,1.72,niño,pacifico,0,2015,7,0
2015-08-01,52065020,495.4,1.91,niño,pacifico,0,2015,8,0
2015-09-01,52065020,337.4,2.21,niño,pacifico,0,2015,9,0
2015-10-01,52065020,868.6,2.11,niño,pacifico,0,2015,10,0
2015-11-01,52065020,843.6,1.88,niño,pacifico,1,2015,11,1
2015-12-01,52065020,719.3,1.9,niño,pacifico,0,2015,12,0
2006-01-01,52040160,282.8,-0.68,niña,andina,1,2006,1,1
2006-02-01,52040160,191.8,-0.5,neutro,andina,0,2006,2,0
2006-03-01,52040160,255.1,-0.62,niña,andina,10,2006,3,10
2006-04-01,52040160,247.2,-0.84,niña,andina,1,2006,4,1
2006-05-01,52040160,30.0,-0.43,neutro,andina,0,2006,5,0
2006-06-01,52040160,155.0,-0.23,neutro,andina,0,2006,6,0
2006-07-01,52040160,36.0,0.11,neutro,andina,0,2006,7,0
2006-08-01,52040160,7.6,0.56,niño,andina,0,2006,8,0
2006-09-01,52040160,9.5,0.63,niño,andina,0,2006,9,0
2006-10-01,52040160,200.3,0.68,niño,andina,0,2006,10,0
2006-11-01,52040160,396.2,0.9,niño,andina,3,2006,11,3
2006-12-01,52040160,351.1,0.59,niño,andina,1,2006,12,1
2007-01-01,52040160,107.5,0.62,niño,andina,0,2007,1,0
2007-02-01,52040160,48.6,0.39,neutro,andina,0,2007,2,0
2007-03-01,52040160,279.0,-0.22,neutro,andina,0,2007,3,0
2007-04-01,52040160,273.4,-0.36,neutro,andina,0,2007,4,0
2007-05-01,52040160,137.4,-0.44,neutro,andina,0,2007,5,0
2007-06-01,52040160,87.8,-0.86,niña,andina,0,2007,6,0
2007-07-01,52040160,47.4,-0.77,niña,andina,0,2007,7,0
2007-08-01,52040160,24.8,-0.94,niña,andina,0,2007,8,0
2007-09-01,52040160,7.4,-1.1,niña,andina,0,2007,9,0
2007-10-01,52040160,337.0,-1.14,niña,andina,0,2007,10,0
2007-11-01,52040160,348.1,-1.12,niña,andina,1,2007,11,1
2007-12-01,52040160,351.8,-1.21,niña,andina,0,2007,12,0
2008-01-01,52040160,332.1,-1.08,niña,andina,0,2008,1,0
2008-02-01,52040160,264.0,-1.27,niña,andina,0,2008,2,0
2008-03-01,52040160,248.5,-1.53,niña,andina,3,2008,3,3
2008-04-01,52040160,295.2,-1.13,niña,andina,0,2008,4,0
2008-05-01,52040160,229.8,-0.98,niña,andina,0,2008,5,0
2008-06-01,52040160,51.0,-0.86,niña,andina,0,2008,6,0
2008-07-01,52040160,24.9,-0.87,niña,andina,2,2008,7,2
2008-08-01,52040160,44.2,-1.08,niña,andina,0,2008,8,0
2008-09-01,52040160,32.8,-1.07,niña,andina,0,2008,9,0
2008-10-01,52040160,289.3,-1.12,niña,andina,0,2008,10,0
2008-11-01,52040160,320.6,-1.04,niña,andina,0,2008,11,0
2008-12-01,52040160,274.7,-1.05,niña,andina,3,2008,12,3
2009-01-01,52040160,338.8,-1.0,niña,andina,5,2009,1,5
2009-02-01,52040160,221.6,-0.84,niña,andina,0,2009,2,0
2009-03-01,52040160,219.9,-0.93,niña,andina,3,2009,3,3
2009-04-01,52040160,128.7,-0.81,niña,andina,0,2009,4,0
2009-05-01,52040160,106.2,-0.72,niña,andina,0,2009,5,0
2009-06-01,52040160,41.8,-0.06,neutro,andina,0,2009,6,0
2009-07-01,52040160,14.9,0.49,neutro,andina,0,2009,7,0
2009-08-01,52040160,33.6,0.52,niño,andina,0,2009,8,0
2009-09-01,52040160,24.3,0.39,neutro,andina,0,2009,9,0
2009-10-01,52040160,187.7,0.56,niño,andina,0,2009,10,0
2009-11-01,52040160,302.6,1.05,niño,andina,0,2009,11,0
2009-12-01,52040160,260.9,0.96,niño,andina,0,2009,12,0
